date,description,amount,running_balance,currency,bank_name,account_number,sort_code,account_name
2025-09-27,TRANSFER FROM CURRENT,358.25,7920.48,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-09-30,SAVINGS INTEREST,0.29,7920.77,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-10-31,SAVINGS INTEREST,0.29,7921.06,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-11-30,SAVINGS INTEREST,0.29,7921.35,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-12-27,TRANSFER FROM CURRENT,507.81,8429.16,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2025-12-31,SAVINGS INTEREST,0.29,8429.45,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-01-27,TRANSFER FROM CURRENT,582.4,9011.85,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-01-31,SAVINGS INTEREST,0.29,9012.14,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-02-27,TRANSFER FROM CURRENT,503.11,9515.25,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-02-28,SAVINGS INTEREST,0.29,9515.54,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-03-31,SAVINGS INTEREST,0.29,9515.83,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-04-27,TRANSFER FROM CURRENT,595.26,10111.09,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-04-30,SAVINGS INTEREST,0.29,10111.38,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-05-31,SAVINGS INTEREST,0.29,10111.67,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-06-27,TRANSFER FROM CURRENT,437.28,10548.95,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-06-30,SAVINGS INTEREST,0.29,10549.24,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-07-27,TRANSFER FROM CURRENT,555.83,11105.07,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
2026-07-31,SAVINGS INTEREST,0.29,11105.36,GBP,NIMOB,28988841,22-39-31,Easy Access Savings
