date,description,amount,running_balance,currency,bank_name,account_number,sort_code,account_name
2024-01-16,NEWS MEMBERSHIP,-8.5,3164.71,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-16,TFL RAIL TRAVEL,-4.6,3160.11,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-17,SAINSBURY STORE,-38.36,3121.75,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-17,TFL BUS JOURNEY,-1.75,3120.0,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-17,TFL BUS JOURNEY,-1.75,3118.25,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-18,TFL BUS JOURNEY,-1.75,3116.5,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-18,TFL BUS JOURNEY,-1.75,3114.75,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-19,TFL BUS JOURNEY,-1.75,3113.0,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-19,TFL BUS JOURNEY,-1.75,3111.25,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-20,BROADBAND SERVICE,-29.1,3082.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-22,MOBILE NETWORK,-19.1,3063.05,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-23,TFL BUS JOURNEY,-1.75,3061.3,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-23,TFL BUS JOURNEY,-1.75,3059.55,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-24,CLIENT INVOICE PAYMENT,160.02,3219.57,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-25,TFL BUS JOURNEY,-1.75,3217.82,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-25,TFL BUS JOURNEY,-1.75,3216.07,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-26,LOCAL CAFE,-97.75,3118.32,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-26,TFL RAIL TRAVEL,-9.21,3109.11,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-27,TESCO SUPERMARKET,-23.08,3086.03,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-27,ONLINE SHOP,-47.77,3038.26,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-29,CLIENT INVOICE PAYMENT,186.17,3224.43,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-29,TFL RAIL TRAVEL,-4.6,3219.83,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-30,TFL RAIL TRAVEL,-9.21,3210.62,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-01-31,TFL RAIL TRAVEL,-9.21,3201.41,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-01,HOME RENT PAYMENT,-714.96,2486.45,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-01,TFL BUS JOURNEY,-1.75,2484.7,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-01,TFL BUS JOURNEY,-1.75,2482.95,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-02,TESCO SUPERMARKET,-22.53,2460.42,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-03,LOCAL CAFE,-43.42,2417.0,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-05,SAINSBURY STORE,-36.04,2380.96,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-05,TFL RAIL TRAVEL,-3.2,2377.76,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-06,TFL RAIL TRAVEL,-6.41,2371.35,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-07,NIMO ENERGY,-76.55,2294.8,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-08,TFL BUS JOURNEY,-1.75,2293.05,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-08,TFL BUS JOURNEY,-1.75,2291.3,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-09,GYM MEMBERSHIP,-30.02,2261.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-10,VIDEO STREAMING,-8.0,2253.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-12,TFL BUS JOURNEY,-1.75,2251.53,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-12,TFL BUS JOURNEY,-1.75,2249.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-13,TFL BUS JOURNEY,-1.75,2248.03,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-13,TFL BUS JOURNEY,-1.75,2246.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-14,TFL BUS JOURNEY,-1.75,2244.53,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-14,TFL BUS JOURNEY,-1.75,2242.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-15,CITY WATER,-32.63,2210.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-16,NEWS MEMBERSHIP,-8.51,2201.64,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-16,CITY RESTAURANT,-9.36,2192.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-16,TFL BUS JOURNEY,-1.75,2190.53,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-16,TFL BUS JOURNEY,-1.75,2188.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-18,ALDI GROCERIES,-15.09,2173.69,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-19,TFL BUS JOURNEY,-1.75,2171.94,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-19,TFL BUS JOURNEY,-1.75,2170.19,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-20,BROADBAND SERVICE,-25.05,2145.14,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-20,TFL BUS JOURNEY,-1.75,2143.39,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-20,TFL BUS JOURNEY,-1.75,2141.64,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-21,TFL RAIL TRAVEL,-4.61,2137.03,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-22,MOBILE NETWORK,-21.63,2115.4,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-22,TFL RAIL TRAVEL,-4.61,2110.79,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-24,SAINSBURY STORE,-30.27,2080.52,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-26,FREELANCE CREDIT,511.81,2592.33,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-26,TFL BUS JOURNEY,-1.75,2590.58,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-26,TFL BUS JOURNEY,-1.75,2588.83,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-27,TRANSFER TO SAVINGS,-563.01,2025.82,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-02-28,TESCO SUPERMARKET,-35.07,1990.75,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-01,HOME RENT PAYMENT,-715.88,1274.87,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-04,TFL BUS JOURNEY,-1.75,1273.12,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-04,TFL BUS JOURNEY,-1.75,1271.37,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-06,TFL RAIL TRAVEL,-3.21,1268.16,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-07,NIMO ENERGY,-65.68,1202.48,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-08,ALDI GROCERIES,-26.75,1175.73,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-08,ALDI GROCERIES,-31.14,1144.59,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-09,GYM MEMBERSHIP,-30.04,1114.55,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-10,VIDEO STREAMING,-8.0,1106.55,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-11,TFL BUS JOURNEY,-1.75,1104.8,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-11,TFL BUS JOURNEY,-1.75,1103.05,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-14,TFL RAIL TRAVEL,-6.41,1096.64,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-15,CLIENT INVOICE PAYMENT,407.1,1503.74,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-15,CITY WATER,-30.87,1472.87,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-16,NEWS MEMBERSHIP,-8.51,1464.36,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-16,TESCO SUPERMARKET,-23.15,1441.21,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-16,ELECTRONICS STORE,-124.49,1316.72,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-18,TFL BUS JOURNEY,-1.75,1314.97,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-18,TFL BUS JOURNEY,-1.75,1313.22,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-20,BROADBAND SERVICE,-23.74,1289.48,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-21,CONTRACT PAY,161.23,1450.71,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-22,MOBILE NETWORK,-21.72,1428.99,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-22,LOCAL PHARMACY,-36.1,1392.89,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-23,CITY TAXI,-8.11,1384.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-24,ALDI GROCERIES,-24.0,1360.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-26,TFL BUS JOURNEY,-1.75,1359.03,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-26,TFL BUS JOURNEY,-1.75,1357.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-27,TFL RAIL TRAVEL,-6.41,1350.87,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-28,TFL BUS JOURNEY,-1.75,1349.12,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-28,TFL BUS JOURNEY,-1.75,1347.37,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-30,LOCAL CAFE,-9.53,1337.84,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-31,SAINSBURY STORE,-37.34,1300.5,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-31,LIDL MARKET,-12.06,1288.44,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-03-31,CITY TAXI,-13.53,1274.91,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-01,HOME RENT PAYMENT,-716.85,558.06,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-01,TFL BUS JOURNEY,-1.75,556.31,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-01,TFL BUS JOURNEY,-1.75,554.56,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-02,CONTRACT PAY,211.06,765.62,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-02,TESCO SUPERMARKET,-39.02,726.6,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-03,TFL RAIL TRAVEL,-9.22,717.38,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-04,FREELANCE CREDIT,149.77,867.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-04,FREELANCE CREDIT,507.7,1374.85,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-05,TFL RAIL TRAVEL,-6.42,1368.43,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-05,AMAZON MARKETPLACE,-55.92,1312.51,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-06,TESCO SUPERMARKET,-180.82,1131.69,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-06,CITY TAXI,-20.82,1110.87,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-07,NIMO ENERGY,-81.94,1028.93,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-09,CLIENT INVOICE PAYMENT,693.41,1722.34,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-09,GYM MEMBERSHIP,-30.06,1692.28,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-10,VIDEO STREAMING,-8.01,1684.27,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-10,TFL RAIL TRAVEL,-4.61,1679.66,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-11,TFL BUS JOURNEY,-1.75,1677.91,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-11,TFL BUS JOURNEY,-1.75,1676.16,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-13,SAINSBURY STORE,-39.01,1637.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-15,FREELANCE CREDIT,1117.84,2754.99,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-15,CITY WATER,-28.55,2726.44,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-15,TFL RAIL TRAVEL,-3.21,2723.23,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-16,NEWS MEMBERSHIP,-8.52,2714.71,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-16,TFL BUS JOURNEY,-1.75,2712.96,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-16,TFL BUS JOURNEY,-1.75,2711.21,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-17,TFL BUS JOURNEY,-1.75,2709.46,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-17,TFL BUS JOURNEY,-1.75,2707.71,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-18,FREELANCE CREDIT,473.05,3180.76,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-18,CONTRACT PAY,699.86,3880.62,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-18,ALDI GROCERIES,-23.19,3857.43,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-19,ALDI GROCERIES,-22.05,3835.38,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-19,TFL BUS JOURNEY,-1.75,3833.63,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-19,TFL BUS JOURNEY,-1.75,3831.88,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-20,BROADBAND SERVICE,-22.75,3809.13,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-20,LIDL MARKET,-18.8,3790.33,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-20,SAINSBURY STORE,-39.26,3751.07,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-22,MOBILE NETWORK,-21.12,3729.95,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-22,TFL BUS JOURNEY,-1.76,3728.19,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-22,TFL BUS JOURNEY,-1.76,3726.43,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-23,TFL BUS JOURNEY,-1.76,3724.67,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-23,TFL BUS JOURNEY,-1.76,3722.91,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-24,FREELANCE CREDIT,671.41,4394.32,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-24,CONTRACT PAY,181.92,4576.24,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-24,TFL BUS JOURNEY,-1.76,4574.48,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-24,TFL BUS JOURNEY,-1.76,4572.72,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-25,LOCAL PHARMACY,-24.9,4547.82,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-26,TFL RAIL TRAVEL,-6.42,4541.4,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-27,TRANSFER TO SAVINGS,-495.83,4045.57,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-28,SAINSBURY STORE,-21.86,4023.71,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-29,CLIENT INVOICE PAYMENT,322.53,4346.24,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-30,SAINSBURY STORE,-45.0,4301.24,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-04-30,TFL RAIL TRAVEL,-9.23,4292.01,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-01,CONTRACT PAY,340.75,4632.76,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-01,HOME RENT PAYMENT,-717.8,3914.96,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-01,TFL BUS JOURNEY,-1.76,3913.2,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-01,TFL BUS JOURNEY,-1.76,3911.44,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-02,CONTRACT PAY,401.37,4312.81,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-02,TFL RAIL TRAVEL,-4.61,4308.2,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-04,CITY TAXI,-7.84,4300.36,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-04,ONLINE SHOP,-21.52,4278.84,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-06,FREELANCE CREDIT,201.94,4480.78,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-06,TFL BUS JOURNEY,-1.76,4479.02,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-06,TFL BUS JOURNEY,-1.76,4477.26,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-07,CLIENT INVOICE PAYMENT,357.21,4834.47,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-07,NIMO ENERGY,-73.59,4760.88,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-07,LIDL MARKET,-40.57,4720.31,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-07,TFL RAIL TRAVEL,-4.62,4715.69,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-08,CLIENT INVOICE PAYMENT,167.36,4883.05,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-08,TFL RAIL TRAVEL,-4.62,4878.43,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-09,GYM MEMBERSHIP,-30.08,4848.35,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-10,VIDEO STREAMING,-8.01,4840.34,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-10,DELIVEROO TAKEAWAY,-12.83,4827.51,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-10,TFL BUS JOURNEY,-1.76,4825.75,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-10,TFL BUS JOURNEY,-1.76,4823.99,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-11,LOCAL CAFE,-125.14,4698.85,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-11,AMAZON MARKETPLACE,-47.04,4651.81,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-13,TFL RAIL TRAVEL,-9.23,4642.58,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-14,TFL RAIL TRAVEL,-3.21,4639.37,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-15,CITY WATER,-31.43,4607.94,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-16,NEWS MEMBERSHIP,-8.53,4599.41,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-16,TFL BUS JOURNEY,-1.76,4597.65,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-16,TFL BUS JOURNEY,-1.76,4595.89,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-17,TFL RAIL TRAVEL,-9.23,4586.66,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-18,TESCO SUPERMARKET,-26.41,4560.25,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-20,BROADBAND SERVICE,-25.11,4535.14,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-20,TFL BUS JOURNEY,-1.76,4533.38,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-20,TFL BUS JOURNEY,-1.76,4531.62,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-21,ALDI GROCERIES,-21.95,4509.67,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-21,TFL BUS JOURNEY,-1.76,4507.91,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-21,TFL BUS JOURNEY,-1.76,4506.15,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-22,MOBILE NETWORK,-19.88,4486.27,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-22,TFL BUS JOURNEY,-1.76,4484.51,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-22,TFL BUS JOURNEY,-1.76,4482.75,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-23,TFL RAIL TRAVEL,-4.62,4478.13,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-25,NEIGHBOURHOOD PUB,-16.81,4461.32,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-27,FREELANCE CREDIT,644.78,5106.1,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-28,TFL BUS JOURNEY,-1.76,5104.34,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-28,TFL BUS JOURNEY,-1.76,5102.58,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-28,CITY DEPARTMENT STORE,-154.4,4948.18,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-30,TFL BUS JOURNEY,-1.76,4946.42,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-30,TFL BUS JOURNEY,-1.76,4944.66,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-31,TFL BUS JOURNEY,-1.76,4942.9,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-05-31,TFL BUS JOURNEY,-1.76,4941.14,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-01,HOME RENT PAYMENT,-718.78,4222.36,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-01,SAINSBURY STORE,-36.97,4185.39,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-02,DELIVEROO TAKEAWAY,-14.31,4171.08,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-02,CITY TAXI,-16.97,4154.11,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-03,TFL BUS JOURNEY,-1.76,4152.35,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-03,TFL BUS JOURNEY,-1.76,4150.59,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-04,TFL BUS JOURNEY,-1.76,4148.83,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-04,TFL BUS JOURNEY,-1.76,4147.07,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-05,TFL RAIL TRAVEL,-9.24,4137.83,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-06,ALDI GROCERIES,-11.63,4126.2,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-06,TFL BUS JOURNEY,-1.76,4124.44,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-06,TFL BUS JOURNEY,-1.76,4122.68,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-07,NIMO ENERGY,-75.05,4047.63,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-07,LIDL MARKET,-10.69,4036.94,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-08,NEIGHBOURHOOD PUB,-9.3,4027.64,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-09,GYM MEMBERSHIP,-30.1,3997.54,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-10,VIDEO STREAMING,-8.02,3989.52,GBP,NIMOB,46110026,93-86-07,Main Current Account
2024-06-10,TFL BUS JOURNEY,-1.76,3987.76,GBP,NIMOB,46110026,93-86-07,Main Current Account
